"aar","","aa","Afar","afar"
"abk","","ab","Abkhazian","abkhaze"
"ace","","","Achinese","aceh"
"ach","","","Acoli","acoli"
"ada","","","Adangme","adangme"
"ady","","","Adyghe; Adygei","adyghé"
"afa","","","Afro-Asiatic languages","afro-asiatiques, langues"
"afh","","","Afrihili","afrihili"
"ain","","","Ainu","aïnou"
"aka","","ak","Akan","akan"
"akk","","","Akkadian","akkadien"
"alb","sqi","sq","Albanian","albanais"
"ale","","","Aleut","aléoute"
"alg","","","Algonquian languages","algonquines, langues"
"alt","","","Southern Altai","altai du Sud"
"amh","","am","Amharic","amharique"
"ang","","","English, Old (ca.450-1100)","anglo-saxon (ca.450-1100)"
"anp","","","Angika","angika"
"apa","","","Apache languages","apaches, langues"
"ara","","ar","Arabic","arabe"
"arc","","","Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)","araméen d'empire (700-300 BCE)"
"arg","","an","Aragonese","aragonais"
"arm","hye","hy","Armenian","arménien"
"arn","","","Mapudungun; Mapuche","mapudungun; mapuche; mapuce"
"arp","","","Arapaho","arapaho"
"art","","","Artificial languages","artificielles, langues"
"arw","","","Arawak","arawak"
"asm","","as","Assamese","assamais"
"ast","","","Asturian; Bable; Leonese; Asturleonese","asturien; bable; léonais; asturoléonais"
"ath","","","Athapascan languages","athapascanes, langues"
"aus","","","Australian languages","australiennes, langues"
"ava","","av","Avaric","avar"
"ave","","ae","Avestan","avestique"
"awa","","","Awadhi","awadhi"
"aym","","ay","Aymara","aymara"
"aze","","az","Azerbaijani","azéri"
"bad","","","Banda languages","banda, langues"
"bai","","","Bamileke languages","bamiléké, langues"
"bak","","ba","Bashkir","bachkir"
"bal","","","Baluchi","baloutchi"
"bam","","bm","Bambara","bambara"
"ban","","","Balinese","balinais"
"baq","eus","eu","Basque","basque"
"bas","","","Basa","basa"
"bat","","","Baltic languages","baltes, langues"
"bej","","","Beja; Bedawiyet","bedja"
"bel","","be","Belarusian","biélorusse"
"bem","","","Bemba","bemba"
"ben","","bn","Bengali","bengali"
"ber","","","Berber languages","berbères, langues"
"bho","","","Bhojpuri","bhojpuri"
"bih","","bh","Bihari languages","langues biharis"
"bik","","","Bikol","bikol"
"bin","","","Bini; Edo","bini; edo"
"bis","","bi","Bislama","bichlamar"
"bla","","","Siksika","blackfoot"
"bnt","","","Bantu languages","bantou, langues"
"bos","","bs","Bosnian","bosniaque"
"bra","","","Braj","braj"
"bre","","br","Breton","breton"
"btk","","","Batak languages","batak, langues"
"bua","","","Buriat","bouriate"
"bug","","","Buginese","bugi"
"bul","","bg","Bulgarian","bulgare"
"bur","mya","my","Burmese","birman"
